name;platform;r-date;score;user score;developer;genre;players;critics;users;1 Player;1-2 Player;No Online Multiplayer;MP up to 32;MP up to 30;MP up to 16;No info;1-4 Player
Madden NFL 21;PlayStation4;25.08.2020;63;0.2;EASports;Sports,Team,Football,Sim;Up to 6 ;29;5363;0;0;0;0;0;0;0;0
Madden NFL 21;XboxOne;25.08.2020;69;0.4;EASports;Sports,Team,Football,Sim;Up to 6 ;20;994;0;0;0;0;0;0;0;0
Tom Clancy's The Division 2: Warlords of New York;PC;03.03.2020;79;0.5;MassiveEntertainment;Action,Shooter,Third-Person,Tactical;No info;19;1498;0;0;0;0;0;0;1;0
Warcraft III: Reforged;PC;28.01.2020;59;0.6;BlizzardEntertainment;Strategy,Real-Time,General;Online Multiplayer;46;30532;0;0;0;0;0;0;0;0
NBA 2K21;PlayStation4;04.09.2020;68;0.7;VisualConcepts;Sports,Team,Basketball,Arcade;Up to 10 ;49;446;0;0;0;0;0;0;0;0
FIFA 21;PlayStation4;06.10.2020;72;0.8;ElectronicArts;Sports,Team,Soccer,Sim;Up to 22 ;57;1153;0;0;0;0;0;0;0;0
FIFA 20: Legacy Edition;Switch;27.09.2019;43;0.9;ElectronicArts;Sports,Team,Soccer,Sim;Up to 22 ;9;868;0;0;0;0;0;0;0;0
Tom Clancy's The Division 2: Warlords of New York;XboxOne;03.03.2020;82;1.1;MassiveEntertainment;Action,Shooter,Third-Person,Tactical;No info;9;172;0;0;0;0;0;0;1;0
FIFA 21;XboxOne;06.10.2020;77;1.1;ElectronicArts;Sports,Team,Soccer,Sim;Up to 22 ;18;229;0;0;0;0;0;0;0;0
Tom Clancy's The Division 2: Warlords of New York;PlayStation4;03.03.2020;74;1.1;MassiveEntertainment;Action,Shooter,Third-Person,Tactical;No info;13;442;0;0;0;0;0;0;1;0
The Sims 4: Star Wars - Journey to Batuu;PC;08.09.2020;70;1.1;Maxis;Simulation,Virtual,Virtual Life;No info;14;42;0;0;0;0;0;0;1;0
WWE 2K20;XboxOne;22.10.2019;45;1.1;VisualConcepts;Sports,Individual,Combat,Wrestling;Up to 6 ;20;117;0;0;0;0;0;0;0;0
FIFA 20;PlayStation4;24.09.2019;79;1.2;ElectronicArts;Sports,Team,Soccer,Sim;Up to 22 ;62;3420;0;0;0;0;0;0;0;0
Call of Duty: Modern Warfare 3 - Defiance;DS;08.11.2011;57;1.2;n-Space;Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade;No info;9;257;0;0;0;0;0;0;1;0
FIFA 20;XboxOne;24.09.2019;79;1.3;ElectronicArts;Sports,Team,Soccer,Sim;Up to 22 ;18;336;0;0;0;0;0;0;0;0
NBA 2K20;PlayStation4;06.09.2019;78;1.3;VisualConcepts;Sports,Team,Basketball,Sim;Up to 10 ;42;1142;0;0;0;0;0;0;0;0
FIFA 21;PC;09.10.2020;75;1.3;ElectronicArts;Sports,Team,Soccer,Sim;Online Multiplayer;7;296;0;0;0;0;0;0;0;0
Metal Gear Survive;PC;21.02.2018;54;1.3;Konami;Action Adventure,General,Survival;Up to 4 ;16;301;0;0;0;0;0;0;0;0
Fast & Furious: Showdown;Xbox360;21.05.2013;22;1.3;Activision,FirebrandGames;Driving,Racing,Arcade,GT / Street,GT / Street,Automobile;No info;9;132;0;0;0;0;0;0;1;0
Alone in the Dark: Illumination;PC;11.06.2015;19;1.3;PureFPS;Horror,Action Adventure,Survival;No info;12;134;0;0;0;0;0;0;1;0
Ride to Hell: Retribution;Xbox360;25.06.2013;19;1.3;Eutechnyx,DeepSilver;Driving,Action Adventure,Modern,Racing,General,Modern,Motorcycle,Motocross;No Online Multiplayer;14;435;0;0;1;0;0;0;0;0
Ride to Hell: Retribution;PC;24.06.2013;16;1.3;Eutechnyx,DeepSilver;Driving,Modern,Racing,Motorcycle,Motocross,Modern,Action Adventure,General;No info;9;581;0;0;0;0;0;0;1;0
NBA 2K20;XboxOne;06.09.2019;80;1.4;VisualConcepts;Sports,Team,Basketball,Sim;Up to 10 ;18;310;0;0;0;0;0;0;0;0
Metal Gear Survive;PlayStation4;20.02.2018;60;1.4;Konami;Action Adventure,General,Survival;Up to 4 ;70;1045;0;0;0;0;0;0;0;0
Destiny 2: Curse of Osiris;XboxOne;05.12.2017;57;1.4;Bungie;Action,Shooter,First-Person,Arcade;No info;9;87;0;0;0;0;0;0;1;0
Mindjack;Xbox360;18.01.2011;43;1.4;FeelPlus;Action,Shooter,Shooter,Third-Person,Sci-Fi,Modern,Arcade;No info;42;119;0;0;0;0;0;0;1;0
Ghostbusters;PlayStation4;12.07.2016;30;1.4;Activision,FireForgeGames;Action,Shooter,Shoot-'Em-Up,Top-Down;No info;22;264;0;0;0;0;0;0;1;0
EA SPORTS UFC 4;PlayStation4;14.08.2020;78;1.5;ElectronicArts;Sports,Individual,Combat,Boxing / Martial Arts;2 ;47;398;0;0;0;0;0;0;0;0
Thrillville: Off the Rails;PSP;09.10.2007;72;1.5;FrontierDevelopments;Strategy,General,General;2  Online;7;28;0;0;0;0;0;0;0;0
Star Wars Battlefront II;PlayStation4;14.11.2017;68;1.5;EADICE;Action,Shooter,First-Person,Tactical;Up to 40 ;62;8525;0;0;0;0;0;0;0;0
Star Wars Battlefront II;XboxOne;17.11.2017;66;1.5;EADICE;Action,Shooter,First-Person,Tactical;Up to 40 ;34;1261;0;0;0;0;0;0;0;0
Star Wars Battlefront II;PC;17.11.2017;65;1.5;EADICE;Action,Shooter,First-Person,Tactical;Up to 40 ;24;2988;0;0;0;0;0;0;0;0
Sacred 3;PC;31.07.2014;57;1.5;DeepSilver;Action RPG,Role-Playing,Action RPG;No info;47;518;0;0;0;0;0;0;1;0
Destiny 2: Curse of Osiris;PlayStation4;05.12.2017;57;1.5;Bungie;Action,Shooter,First-Person,Arcade;No info;28;581;0;0;0;0;0;0;1;0
Fimbul;PlayStation4;28.02.2019;52;1.5;Zaxis;Action Adventure,General;No Online Multiplayer;9;6;0;0;1;0;0;0;0;0
Extinction;PlayStation4;10.04.2018;47;1.5;IronGalaxyStudios;Action Adventure,General;No Online Multiplayer;37;83;0;0;1;0;0;0;0;0
WWE 2K20;PlayStation4;22.10.2019;43;1.5;VisualConcepts;Sports,Individual,Combat,Wrestling;Up to 6 ;29;285;0;0;0;0;0;0;0;0
Legends of Pegasus;PC;10.08.2012;36;1.5;Kalypso,NovacoreStudios;Simulation,Strategy,Turn-Based,General,General,4X;No info;11;113;0;0;0;0;0;0;1;0
Tony Hawk's Pro Skater 5;PlayStation4;29.09.2015;32;1.5;Robomodo;Sports,Individual,Skate / Skateboard;Up to 20 ;43;444;0;0;0;0;0;0;0;0
Wild West Online;PC;10.05.2018;29;1.5;No info;Role-Playing,Massively Multiplayer;Online Multiplayer;8;49;0;0;0;0;0;0;0;0
Dragon Ball: Evolution;PSP;08.04.2009;28;1.5;DimpsCorporation;Action,General,General,Fighting,3D;No Online Multiplayer;16;69;0;0;1;0;0;0;0;0
R.I.P.D. The Game;PC;16.07.2013;26;1.5;OldSchoolGames;Action,General,General,Shooter,Third-Person,Sci-Fi,Arcade;No info;7;69;0;0;0;0;0;0;1;0
R.I.P.D. The Game;PC;16.07.2013;26;1.5;OldSchoolGames;Action,General,General,Shooter,Third-Person,Sci-Fi,Arcade;No info;7;69;0;0;0;0;0;0;1;0
Double Dragon II: Wander of the Dragons;Xbox360;05.04.2013;17;1.5;GravityCorporation,Gravity;Action,Beat-'Em-Up,Beat-'Em-Up,2D;No info;19;58;0;0;0;0;0;0;1;0
NBA 2K18;XboxOne;15.09.2017;85;1.6;2KGames;Sports,Team,Basketball,Sim;Up to 10 ;16;178;0;0;0;0;0;0;0;0
Call of Duty: Infinite Warfare - Sabotage;PlayStation4;31.01.2017;76;1.6;InfinityWard;Action,Shooter,First-Person,Tactical;No info;11;35;0;0;0;0;0;0;1;0
Call of Duty: WWII - The War Machine;PlayStation4;10.04.2018;73;1.6;SledgehammerGames;Action,Shooter,First-Person,Arcade;No info;8;23;0;0;0;0;0;0;1;0
Giga Wrecker Alt.;PlayStation4;12.04.2019;67;1.6;GameFreak;Action,Platformer,2D;No Online Multiplayer;11;5;0;0;1;0;0;0;0;0
Rambo: The Video Game;PC;21.02.2014;34;1.6;Teyon;Action,General;No Online Multiplayer;22;316;0;0;1;0;0;0;0;0
Pool Party;Wii;05.09.2007;32;1.6;SouthPeakGames,Hyper-Devbox;Sports,Miscellaneous,Parlor,Individual,Billiards,Billiards;1-2 ;13;9;0;1;0;0;0;0;0;0
NBA 2K18;PlayStation4;15.09.2017;80;1.7;VisualConcepts;Arcade,Sports,Team,Basketball,Sim;Up to 10 ;54;720;0;0;0;0;0;0;0;0
Thrillville;Xbox;21.11.2006;71;1.7;FrontierDevelopments;Strategy,General;1-4 ;16;29;0;0;0;0;0;0;0;1
NBA 2K21;XboxOne;04.09.2020;68;1.7;VisualConcepts;Sports,Team,Basketball,Arcade;Up to 10 ;23;95;0;0;0;0;0;0;0;0
Destiny 2: Curse of Osiris;PC;05.12.2017;61;1.7;Bungie;Action,Shooter,First-Person,Arcade;Up to 16 ;9;181;0;0;0;0;0;1;0;0
Extinction;XboxOne;10.04.2018;52;1.7;IronGalaxyStudios;Action Adventure,General;No Online Multiplayer;18;27;0;0;1;0;0;0;0;0
Cities XXL;PC;05.02.2015;47;1.7;FocusHomeInteractive;Strategy,City Building,Management,Modern,Government;No info;20;230;0;0;0;0;0;0;1;0
Clash of the Titans;PlayStation3;27.07.2010;41;1.7;GameRepublic;Action Adventure,Historic,General,Historic;No Online Multiplayer;28;19;0;0;1;0;0;0;0;0
Attack of the Movies 3D;Xbox360;18.05.2010;38;1.7;PanicButton;Action,General,General;No info;8;10;0;0;0;0;0;0;1;0
Air Conflicts: Vietnam Ultimate Edition;PlayStation4;16.09.2014;30;1.7;bitComposerEntertainmentAG,bitComposer;Action,Simulation,Flight,Combat;No info;10;28;0;0;0;0;0;0;1;0
Thundercats;DS;30.10.2012;28;1.7;Aspect;Action,Platformer,Platformer,2D,2D;1 Player;11;27;1;0;0;0;0;0;0;0
Drake of the 99 Dragons;Xbox;03.11.2003;22;1.7;IdolFX;Action,Shooter,Third-Person,Fantasy;1 Player;16;41;1;0;0;0;0;0;0;0
Infestation: Survivor Stories (The War Z);PC;15.10.2012;20;1.7;HammerpointInteractive;Massively Multiplayer Online,Modern,Role-Playing,Massively Multiplayer;No info;13;3970;0;0;0;0;0;0;1;0
NBA 2K20;Switch;06.09.2019;73;1.8;VisualConcepts;Sports,Team,Basketball,Sim;Up to 10 ;11;111;0;0;0;0;0;0;0;0
Tennis World Tour;XboxOne;22.05.2018;42;1.8;BigbenInteractive;Sports,Individual,Tennis;2 ;8;28;0;0;0;0;0;0;0;0
The History Channel: Battle for the Pacific;PlayStation3;19.02.2008;36;1.8;Activision;Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade;No info;7;16;0;0;0;0;0;0;1;0
Fast & Furious Crossroads;PlayStation4;07.08.2020;35;1.8;SlightlyMadStudios;Action Adventure,Linear,Racing,Arcade,Automobile;Up to 9 ;13;212;0;0;0;0;0;0;0;0
Kabuki Warriors;Xbox;19.11.2001;32;1.8;LightWeight;Action,Fighting,2D;1 Player;15;11;1;0;0;0;0;0;0;0
NBA Unrivaled;PlayStation3;12.11.2009;24;1.8;A.C.R.O.N.Y.M.Games;Sports,Traditional,Basketball,Arcade,Arcade;No info;7;20;0;0;0;0;0;0;1;0
Rambo: The Video Game;PlayStation3;29.04.2014;23;1.8;Teyon;Action,General;No info;11;102;0;0;0;0;0;0;1;0
Madden NFL 20;XboxOne;30.07.2019;79;1.9;ElectronicArts,EATiburon;Action,Sports,General,Team,Football,Sim;Up to 6 ;22;115;0;0;0;0;0;0;0;0
Wallace & Gromit in Project Zoo;Xbox;14.10.2003;63;1.9;FrontierDevelopments;Action,Platformer,3D;1 Player;9;21;1;0;0;0;0;0;0;0
The LEGO Movie 2 Videogame;PlayStation4;26.02.2019;57;1.9;TTGames;Action Adventure,General;No Online Multiplayer;23;21;0;0;1;0;0;0;0;0
Tom Clancy's Ghost Recon 2;GameCube;15.03.2005;54;1.9;UbisoftShanghai;Action,Shooter,First-Person,Tactical,Modern;1 Player;10;13;1;0;0;0;0;0;0;0
OVERPASS;PlayStation4;17.03.2020;54;1.9;ZordixRacing;Racing,Simulation,Automobile;Up to 8 ;19;9;0;0;0;0;0;0;0;0
Mindjack;PlayStation3;18.01.2011;44;1.9;FeelPlus;Action,Shooter,Shooter,Third-Person,First-Person,Sci-Fi,Sci-Fi,Sci-Fi,Modern,Arcade;No info;31;54;0;0;0;0;0;0;1;0
Arcania: Fall of Setarrif;PC;24.10.2011;41;1.9;Spellbound;Role-Playing,PC-style RPG,General,Action RPG,PC-style RPG;No Online Multiplayer;10;74;0;0;1;0;0;0;0;0
Battleship;Xbox360;15.05.2012;38;1.9;DoubleHelixGames;Action,Miscellaneous,Board Games,Shooter,Board Games,First-Person,Tactical;No Online Multiplayer;25;67;0;0;1;0;0;0;0;0
MTV's Celebrity Deathmatch;Xbox;14.10.2003;36;1.9;BigApeProductions;Action,Fighting,3D;1-2 ;17;12;0;1;0;0;0;0;0;0
The Quiet Man;PlayStation4;01.11.2018;28;1.9;SquareEnix,HumanHeadStudios;Action Adventure,General,Linear;No Online Multiplayer;22;143;0;0;1;0;0;0;0;0
Leisure Suit Larry: Box Office Bust;PlayStation3;05.05.2009;17;1.9;Team17;Action Adventure,Adventure,Third-Person,Open-World,Modern,Modern;No Online Multiplayer;11;45;0;0;1;0;0;0;0;0
FIFA 19;PlayStation4;25.09.2018;83;2;EASports;Sports,Team,Soccer,Sim;Up to 22 ;67;1163;0;0;0;0;0;0;0;0
Madden NFL 19;PlayStation4;10.08.2018;80;2;EATiburon;Sports,Team,Football,Sim;Up to 6 ;30;245;0;0;0;0;0;0;0;0
Call of Duty: Modern Warfare 3;Wii;08.11.2011;70;2;Treyarch,SledgehammerGames;Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade;No info;16;446;0;0;0;0;0;0;1;0
Wallace & Gromit: Curse of the Were-Rabbit;Xbox;29.09.2005;70;2;FrontierDevelopments;Action Adventure,Modern;1-2 ;20;25;0;1;0;0;0;0;0;0
Battlefield: Play4Free;PC;10.03.2011;68;2;DigitalIllusions;Action,Shooter,Shooter,First-Person,Modern,Arcade;No info;11;201;0;0;0;0;0;0;1;0
Metal Gear Survive;XboxOne;20.02.2018;62;2;Konami;Action Adventure,General,Survival;Up to 4 ;14;198;0;0;0;0;0;0;0;0
Catan;Switch;20.06.2019;61;2;exozet;Miscellaneous,Board / Card Game;Online Multiplayer;13;12;0;0;0;0;0;0;0;0
Extinction;PC;09.04.2018;51;2;IronGalaxyStudios;Action Adventure,General;No Online Multiplayer;18;30;0;0;1;0;0;0;0;0
Corpse of Discovery;PC;25.08.2015;49;2;PhosphorGamesStudio,LLC,PhosphorGames;Adventure,3D,First-Person;No Online Multiplayer;9;5;0;0;1;0;0;0;0;0
The Dark Eye : Book of Heroes;PC;09.06.2020;48;2;RandomPotionOy;Role-Playing,General;Online Multiplayer;7;5;0;0;0;0;0;0;0;0
Without Warning;Xbox;01.11.2005;45;2;CiRCLE;Action,Shooter,Third-Person,Modern;1 Player;25;5;1;0;0;0;0;0;0;0
Tony Hawk Ride;PlayStation3;17.11.2009;44;2;Robomodo;Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard;No info;29;31;0;0;0;0;0;0;1;0
Zathura;PlayStation2;02.11.2005;43;2;HighVoltageSoftware;Action Adventure,Sci-Fi;1 Player;16;5;1;0;0;0;0;0;0;0
Super Dungeon Bros;PlayStation4;01.11.2016;43;2;ReactGames;Action,General;Up to 4 ;10;12;0;0;0;0;0;0;0;0
Gleamlight;Switch;20.08.2020;42;2;DICO;Action,Platformer,2D;No Online Multiplayer;7;8;0;0;1;0;0;0;0;0
Charlie and the Chocolate Factory;Xbox;11.07.2005;39;2;HighVoltageSoftware,BackboneEntertainment;Action Adventure,Modern;1 Player;20;12;1;0;0;0;0;0;0;0
SoulCalibur: Lost Swords;PlayStation3;22.04.2014;38;2;BandaiNamcoGames;Action,Fighting,3D;No info;9;89;0;0;0;0;0;0;1;0
Bad Boys: Miami Takedown;GameCube;14.09.2004;35;2;BlitzGames;Action,Shooter,Third-Person,Modern;1 Player;11;9;1;0;0;0;0;0;0;0
Terminator 3: Rise of the Machines;Xbox;11.11.2003;35;2;BlackOpsEntertainment;Action Adventure,Sci-Fi;1 Player;24;10;1;0;0;0;0;0;0;0
Fast & Furious Crossroads;PC;07.08.2020;34;2;SlightlyMadStudios;Action Adventure,Racing,Arcade,Linear,Automobile;Up to 9 ;10;50;0;0;0;0;0;0;0;0
Road Rage;PlayStation4;14.11.2017;26;2;MaximumGames;Simulation,Vehicle,Combat;Up to 4 ;14;26;0;0;0;0;0;0;0;0
Leisure Suit Larry: Box Office Bust;PC;31.03.2009;20;2;Team17;Action Adventure,Adventure,Third-Person,Open-World,Modern,Modern;No Online Multiplayer;17;40;0;0;1;0;0;0;0;0
Family Party: 30 Great Games Obstacle Arcade;WiiU;04.12.2012;11;2;ArtCo.,Ltd.;Miscellaneous,Party,Party,Party / Minigame;No Online Multiplayer;8;151;0;0;1;0;0;0;0;0
Company of Heroes 2;PC;25.06.2013;80;2.1;Relic;Strategy,Real-Time,Historic,General,Historic;No info;82;5795;0;0;0;0;0;0;1;0
Chime Sharp;XboxOne;24.02.2017;75;2.1;ChilledMouse;Puzzle,General;No info;8;7;0;0;0;0;0;0;1;0
Command & Conquer 4: Tiberian Twilight;PC;16.03.2010;64;2.1;EALA;Strategy,Real-Time,Sci-Fi,Sci-Fi,General;No info;71;693;0;0;0;0;0;0;1;0
CSI: NY;PC;18.11.2008;53;2.1;LegacyInteractive;Adventure,3D,First-Person,Modern,Modern;No info;9;14;0;0;0;0;0;0;1;0
Crisis on the Planet of the Apes VR;PlayStation4;03.04.2018;49;2.1;Imaginati;Action,Shooter,Light Gun;No Online Multiplayer;14;11;0;0;1;0;0;0;0;0
Star Trek The Video Game;PlayStation3;23.04.2013;45;2.1;DigitalExtremes;Action Adventure,Sci-Fi,Sci-Fi,General;No info;27;123;0;0;0;0;0;0;1;0
RollerCoaster Tycoon World;PC;16.11.2016;43;2.1;NvizzioCreations;Tycoon,Strategy,Management,Business / Tycoon;No Online Multiplayer;7;78;0;0;1;0;0;0;0;0
Tony Hawk's Pro Skater 5;XboxOne;29.09.2015;39;2.1;Robomodo;Sports,Individual,Skate / Skateboard;Up to 20 ;18;133;0;0;0;0;0;0;0;0
Underworld Ascendant;PC;15.11.2018;37;2.1;OtherSideEntertainment;Role-Playing,General;No Online Multiplayer;19;47;0;0;1;0;0;0;0;0
Power Gig: Rise of the SixString;Xbox360;19.10.2010;36;2.1;Seven45Studios;Action,Miscellaneous,Rhythm,Music Maker,Music Maker,Music;No info;20;17;0;0;0;0;0;0;1;0
Umbrella Corps;PC;21.06.2016;36;2.1;Capcom;Action,Shooter,Third-Person,Tactical;Online Multiplayer;15;95;0;0;0;0;0;0;0;0
Rekoil;PC;28.01.2014;32;2.1;PlasticPiranha;Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade;No info;11;45;0;0;0;0;0;0;1;0
Artifact;PC;28.11.2018;76;2.2;ValveSoftware;Strategy,Turn-Based,Card Battle;Online Multiplayer;20;604;0;0;0;0;0;0;0;0
Call of Duty: Ghosts;PC;04.11.2013;68;2.2;InfinityWard;Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade;No info;14;3500;0;0;0;0;0;0;1;0
SimCity;PC;05.03.2013;64;2.2;Maxis;Miscellaneous,Virtual Life,Strategy,City Building,Management,Modern,Modern,Government;No info;75;4539;0;0;0;0;0;0;1;0
Darksiders III: Keepers of the Void;PlayStation4;16.07.2019;59;2.2;GunfireGames;Action Adventure,Open-World;No info;11;13;0;0;0;0;0;0;1;0
SimAnimals;Wii;21.01.2009;58;2.2;ElectronicArts;Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life;No info;13;37;0;0;0;0;0;0;1;0
Super Dungeon Bros;XboxOne;01.11.2016;53;2.2;ReactGames;Action,General;Up to 4 ;11;17;0;0;0;0;0;0;0;0
The Sims 2: Apartment Pets;DS;26.08.2008;50;2.2;FullFat;Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life;1 Player;12;6;1;0;0;0;0;0;0;0
Spore Hero Arena;DS;06.10.2009;49;2.2;FullFat;Action Adventure,Sci-Fi,Sci-Fi,General;No info;11;10;0;0;0;0;0;0;1;0
Dragon Ball Z for Kinect;Xbox360;09.10.2012;49;2.2;Spike,SpikeChunsoft;Action,Fighting,Fighting,3D,3D;1 Player;32;44;1;0;0;0;0;0;0;0
Inkheart;DS;12.01.2009;39;2.2;Dreamcatcher;Adventure,General,General;No info;8;5;0;0;0;0;0;0;1;0
Bomberman: Act Zero;Xbox360;29.08.2006;34;2.2;Hudson;Miscellaneous,Puzzle,Action,General,Puzzle,Action;Up to 8 ;41;46;0;0;0;0;0;0;0;0
Pulse Racer;Xbox;02.01.2003;24;2.2;JalecoEntertainment;Driving,Racing,Futuristic;1-4 ;7;17;0;0;0;0;0;0;0;1
Deal or No Deal;DS;23.07.2007;20;2.2;ArtefactsStudio;Miscellaneous,Trivia / Game Show,Trivia / Game Show;1-2 ;13;44;0;1;0;0;0;0;0;0
FIFA 19;XboxOne;25.09.2018;83;2.3;EASports;Sports,Team,Soccer,Sim;Up to 22 ;25;238;0;0;0;0;0;0;0;0
Battlefield V;PlayStation4;15.11.2018;73;2.3;EADICE;Action,Shooter,First-Person,Tactical;Up to 64 ;23;2542;0;0;0;0;0;0;0;0
Thrillville: Off the Rails;PlayStation2;09.10.2007;70;2.3;FrontierDevelopments;Strategy,General;1-4 ;11;34;0;0;0;0;0;0;0;1
Wolfenstein: Youngblood;PC;26.07.2019;69;2.3;MachineGames;Action,Shooter,First-Person,Arcade;2 ;50;816;0;0;0;0;0;0;0;0
Wolfenstein: Youngblood;XboxOne;26.07.2019;68;2.3;MachineGames;Action,Shooter,First-Person,Arcade;2 ;23;204;0;0;0;0;0;0;0;0
UEFA Euro 2012;PlayStation3;24.04.2012;65;2.3;EACanada;Sports,Traditional,Team,Soccer,Sim,Sim;No info;19;23;0;0;0;0;0;0;1;0
Mable & The Wood;PC;23.08.2019;62;2.3;TriplevisionGames;Action,Platformer,2D;No Online Multiplayer;15;4;0;0;1;0;0;0;0;0
The Bunker;Switch;09.04.2018;60;2.3;Channel4;Adventure,Point-and-Click;No Online Multiplayer;10;4;0;0;1;0;0;0;0;0
Commandos 2 HD Remaster;PC;24.01.2020;60;2.3;YippeeEntertainmentLTD;Strategy,Real-Time,General;No Online Multiplayer;15;82;0;0;1;0;0;0;0;0
LOL: Never Party Alone!;DS;30.05.2008;56;2.3;Route24;Miscellaneous,Party,Party,Party / Minigame;1-4 ;20;6;0;0;0;0;0;0;0;1
Loons - The Fight for Fame;Xbox;15.09.2002;47;2.3;Warthog;Action,Beat-'Em-Up;1-4 ;10;4;0;0;0;0;0;0;0;1
Sonic Free Riders;Xbox360;04.11.2010;47;2.3;Sega,SonicTeam;Sports,Racing,Alternative,Arcade,Individual,Other,Other,Automobile;Up to 8 ;52;130;0;0;0;0;0;0;0;0
Star Trek The Video Game;PC;23.04.2013;43;2.3;DigitalExtremes;Action Adventure,Sci-Fi,Sci-Fi,General;No info;18;397;0;0;0;0;0;0;1;0
Shadow Harvest: Phantom Ops;PC;05.04.2011;34;2.3;BlackLionStudios;Action,Shooter,Shooter,Third-Person,Tactical,Modern,Modern;No info;12;34;0;0;0;0;0;0;1;0
Rambo: The Video Game;Xbox360;21.02.2014;28;2.3;Teyon;Action,General;No info;12;146;0;0;0;0;0;0;1;0
Pillars of Eternity: Complete Edition;Switch;08.08.2019;82;2.4;RedCerberus;Role-Playing,Western-Style;No Online Multiplayer;11;63;0;0;1;0;0;0;0;0
The Inner World;XboxOne;31.03.2017;77;2.4;HeadupGames;Adventure,General,Point-and-Click;No info;15;5;0;0;0;0;0;0;1;0
Aeon Flux;Xbox;17.11.2005;69;2.4;TerminalReality;Action Adventure,Sci-Fi;1 Player;27;5;1;0;0;0;0;0;0;0
UFC Personal Trainer: The Ultimate Fitness System;PlayStation3;28.06.2011;65;2.4;THQ,HeavyIronStudios;Sports,Miscellaneous,General,Exercise / Fitness;2 ;8;5;0;0;0;0;0;0;0;0
Narcos: Rise of the Cartels;PlayStation4;19.11.2019;59;2.4;KujuEntertainment;Action,Strategy,Turn-Based,General,Tactics;No Online Multiplayer;9;16;0;0;1;0;0;0;0;0
Farming Simulator 20;Switch;03.12.2019;59;2.4;GiantsSoftware;Simulation,Virtual,Career;No Online Multiplayer;8;17;0;0;1;0;0;0;0;0
Pixel Piracy;PlayStation4;16.02.2016;50;2.4;AbstractionGames;Strategy,Real-Time,General;No info;7;7;0;0;0;0;0;0;1;0
Family Party: 30 Great Games;Wii;02.12.2008;42;2.4;Tamsoft;Miscellaneous,Party,Party,Party / Minigame;1-4 ;10;11;0;0;0;0;0;0;0;1
Power Gig: Rise of the SixString;PlayStation3;19.10.2010;36;2.4;Seven45Studios;Action,Miscellaneous,Rhythm,Music Maker,Music Maker,Music;No info;10;5;0;0;0;0;0;0;1;0
Hoodwink;PC;28.06.2012;29;2.4;E-OneStudio;Adventure,General,General;1 Player;12;7;1;0;0;0;0;0;0;0
ARK: Survival Evolved;Switch;30.11.2018;29;2.4;StudioWildcard;Action Adventure,Survival,Sandbox;Online Multiplayer;12;51;0;0;0;0;0;0;0;0
Fray;PC;08.02.2012;27;2.4;BrainCandy;Strategy,Real-Time,Fantasy,General;No info;8;29;0;0;0;0;0;0;1;0
Leisure Suit Larry: Box Office Bust;Xbox360;31.03.2009;25;2.4;Team17;Action Adventure,Adventure,Third-Person,Open-World,Modern,Modern;No Online Multiplayer;27;42;0;0;1;0;0;0;0;0
Terrawars: New York Invasion;PC;06.07.2006;24;2.4;LadyluckDigitalMedia;Action,Shooter,Shooter,First-Person,Sci-Fi,Arcade;2  Online;10;10;0;0;0;0;0;0;0;0
Call of Duty: Modern Warfare;PC;25.10.2019;81;2.5;InfinityWard;Action,Shooter,First-Person,Arcade;Up to 20 ;27;3562;0;0;0;0;0;0;0;0
HYPERGUN;PC;23.08.2018;62;2.5;NVYVEStudios;Action,First-Person,Shooter,Arcade;No Online Multiplayer;9;4;0;0;1;0;0;0;0;0
Hotel Giant 2;PC;27.01.2010;58;2.5;EnlightSoftware;Strategy,Tycoon,Management,Tycoon,Business / Tycoon;No info;7;22;0;0;0;0;0;0;1;0
Tom Clancy's Ghost Recon: Breakpoint;PC;04.10.2019;58;2.5;UbisoftParis;Action Adventure,Open-World;Up to 8 ;30;771;0;0;0;0;0;0;0;0
DreamWorks Shrek Forever After;PlayStation3;18.05.2010;57;2.5;Xpec;Action,General,General;No info;11;11;0;0;0;0;0;0;1;0
Zapper;GameCube;06.11.2002;55;2.5;BlitzGames;Action,Platformer,3D;1-4 ;13;4;0;0;0;0;0;0;0;1
Hunting Simulator 2;PlayStation4;30.06.2020;54;2.5;Neopica;Sports,Individual,Nature,Hunting;No Online Multiplayer;7;13;0;0;1;0;0;0;0;0
Big Mutha Truckers 2;PlayStation2;23.08.2005;51;2.5;Eutechnyx;Driving,Mission-based;1 Player;26;10;1;0;0;0;0;0;0;0
Brain Boost: Beta Wave;DS;17.11.2006;39;2.5;Interchannel;Miscellaneous,Edutainment,Edutainment;No Online Multiplayer;12;4;0;0;1;0;0;0;0;0
Umbrella Corps;PlayStation4;21.06.2016;38;2.5;Capcom;Action,Shooter,Third-Person,Tactical;Up to 6 ;55;174;0;0;0;0;0;0;0;0
