name;platform;r-date;score;user score;developer;genre;players;critics;users;1 Player;1-2 Player;No Online Multiplayer;MP up to 32;MP up to 30;MP up to 16;No info;1-4 Player
EverQuest: The Shadows of Luclin;PC;02.12.2001;83;7.2;SonyOnlineEntertainment;Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy;Massively Multiplayer;11;5;0;0;0;0;0;0;0;0
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien;PlayStationVita;17.12.2013;83;7.2;GaijinGames;Action,Miscellaneous,Rhythm,Music,Music;No info;7;17;0;0;0;0;0;0;1;0
Devil Daggers;PC;18.02.2016;83;7.2;Sorath;Action,Shooter,First-Person,Arcade;No Online Multiplayer;20;67;0;0;1;0;0;0;0;0
Final Fantasy XIII;PlayStation3;09.03.2010;83;7.2;SquareEnix;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style;No Online Multiplayer;83;2816;0;0;1;0;0;0;0;0
Final Fantasy XIII;PlayStation3;09.03.2010;83;7.2;SquareEnix;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style;No Online Multiplayer;83;2816;0;0;1;0;0;0;0;0
Final Fantasy XIV Online: A Realm Reborn;PC;27.08.2013;83;7.2;SquareEnix;Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy;Massively Multiplayer;32;1506;0;0;0;0;0;0;0;0
World of Outlaws: Sprint Cars;PC;11.02.2003;83;7.2;Ratbag;Driving,Racing,Simulation,Arcade,Stock Car,Other,Automobile;1-10 ;10;10;0;0;0;0;0;0;0;0
SteamWorld Heist;PlayStation4;07.06.2016;83;7.2;Image&Form;Strategy,Turn-Based,General;No info;9;45;0;0;0;0;0;0;1;0
Spyro Reignited Trilogy;XboxOne;13.11.2018;83;7.2;Activision,ToysforBob;Miscellaneous,Compilation;No Online Multiplayer;19;138;0;0;1;0;0;0;0;0
F1 2011;PlayStation3;20.09.2011;82;7.2;Codemasters;Driving,Racing,Simulation,Formula One,Formula One,Automobile;No info;36;58;0;0;0;0;0;0;1;0
Lovers in a Dangerous Spacetime;XboxOne;09.09.2015;82;7.2;AsteroidBase;Platformer,2D,Action,Shooter,Shoot-'Em-Up,Horizontal;No info;27;34;0;0;0;0;0;0;1;0
Asheron's Call 2: Fallen Kings;PC;20.11.2002;82;7.2;TurbineInc.;Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy;Massively Multiplayer;22;10;0;0;0;0;0;0;0;0
Huntdown;PlayStation4;12.05.2020;82;7.2;CoffeeStainStudios,EasyTriggerGames;Action,General;2 ;16;50;0;0;0;0;0;0;0;0
eFootball PES 2020;XboxOne;10.09.2019;82;7.2;Konami;Sports,Team,Soccer,Sim;Up to 22 ;9;118;0;0;0;0;0;0;0;0
Monday Night Combat;PC;24.01.2011;82;7.2;UberEntertainment;Action,Shooter,Shooter,Third-Person,Modern,Modern,Arcade;1 Player;10;66;1;0;0;0;0;0;0;0
DiRT Rally 2.0;XboxOne;26.02.2019;82;7.2;Codemasters;Racing,Simulation,Automobile;Up to 8 ;21;46;0;0;0;0;0;0;0;0
Borderlands 2: Mr. Torgue's Campaign of Carnage;PC;20.11.2012;82;7.2;GearboxSoftware;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade;No info;8;88;0;0;0;0;0;0;1;0
Flight Simulator X: Acceleration;PC;23.10.2007;82;7.2;MicrosoftGameStudios;Simulation,Flight,Modern Jet,Combat;No info;15;30;0;0;0;0;0;0;1;0
NBA Live 2003;Xbox;08.10.2002;82;7.2;EACanada;Sports,Traditional,Basketball,Sim;1-4 ;17;6;0;0;0;0;0;0;0;1
The Sims: Livin' Large;PC;27.08.2000;82;7.2;Maxis;Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life;1 Player;23;22;1;0;0;0;0;0;0;0
PixelJunk Shooter Ultimate;PlayStation4;03.06.2014;82;7.2;DoubleEleven;Action,Shooter,Scrolling,Shoot-'Em-Up,Vertical;No info;8;156;0;0;0;0;0;0;1;0
Starbound;PC;22.07.2016;81;7.2;Chucklefish;Fantasy,General,Fantasy,Action Adventure,Sandbox;Online Multiplayer;21;437;0;0;0;0;0;0;0;0
Super Mega Baseball 2;XboxOne;01.05.2018;81;7.2;MetalheadSoftware;Sports,Team,Baseball,Arcade;Up to 4 ;21;24;0;0;0;0;0;0;0;0
Gunslugs;PlayStationVita;18.02.2014;81;7.2;AbstractionGames;Action,General;No info;8;27;0;0;0;0;0;0;1;0
Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free;PC;15.09.2008;81;7.2;TelltaleGames;Miscellaneous,Adventure,General,Compilation;No info;22;15;0;0;0;0;0;0;1;0
Broken Age;PlayStation4;28.04.2015;81;7.2;DoubleFineProductions;Third-Person,3D,Adventure,Point-and-Click;No Online Multiplayer;21;200;0;0;1;0;0;0;0;0
Fallout 3: Broken Steel;PC;05.05.2009;81;7.2;BethesdaGameStudios;Role-Playing,First-Person,First-Person,General,Western-Style;1 Player;18;133;1;0;0;0;0;0;0;0
Awesomenauts Assemble!;XboxOne;07.09.2016;81;7.2;AbstractionGames,RonimoGames;Strategy,Real-Time,MOBA;No info;7;5;0;0;0;0;0;0;1;0
Assassin's Creed Origins;PlayStation4;27.10.2017;81;7.2;Ubisoft,UbisoftMontreal;Action Adventure,Open-World;No Online Multiplayer;63;2626;0;0;1;0;0;0;0;0
Halo: Reach Remastered;PC;03.12.2019;81;7.2;343Industries;Action,Shooter,First-Person,Arcade;Up to 16 ;22;140;0;0;0;0;0;1;0;0
escapeVektor: Chapter 1;Wii;29.09.2011;81;7.2;Nnooo;Miscellaneous,Action Adventure,Puzzle,Action,Modern;No info;7;5;0;0;0;0;0;0;1;0
NCAA Football 09;PlayStation3;15.07.2008;81;7.2;EATiburon;Sports,Traditional,Team,Football,Sim,Sim;12  Online;20;26;0;0;0;0;0;0;0;0
Wasteland 2;PC;18.09.2014;81;7.2;InXileEntertainment;PC-style RPG,General,Role-Playing,PC-style RPG,Western-Style;No Online Multiplayer;65;1207;0;0;1;0;0;0;0;0
Pinball Fantasies;PSP;24.11.2009;81;7.2;CowboyRodeo;Action,Miscellaneous,Parlor,Pinball,Pinball;No info;7;6;0;0;0;0;0;0;1;0
Perfect Dark Zero;Xbox360;17.11.2005;81;7.2;RareLtd.;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade;1-16 ;75;255;0;0;0;0;0;0;0;0
Sine Mora EX;PlayStation4;08.08.2017;81;7.2;DigitalReality;Action,Shooter,Shoot-'Em-Up,Horizontal;No info;18;19;0;0;0;0;0;0;1;0
Super Monkey Ball Deluxe;Xbox;15.03.2005;81;7.2;Sega;Miscellaneous,Party;1-4 ;25;11;0;0;0;0;0;0;0;1
Buzz! Quiz TV;PlayStation3;23.09.2008;80;7.2;RelentlessSoftware;Miscellaneous,Trivia / Game Show,Trivia / Game Show;Up to 4 ;48;31;0;0;0;0;0;0;0;0
Super Street Fighter IV: Arcade Edition;PlayStation3;07.06.2011;80;7.2;Capcom;Action,Fighting,Fighting,3D,2D,2D,3D;Up to 8 ;24;60;0;0;0;0;0;0;0;0
Tiger Woods PGA Tour 12: The Masters;PlayStation3;29.03.2011;80;7.2;ElectronicArts;Sports,Traditional,Individual,Golf,Sim,Sim;Up to 4 ;41;19;0;0;0;0;0;0;0;0
Hoyle Majestic Chess;PC;14.08.2003;80;7.2;Fluent;Miscellaneous,Board Games,Board Games,Board / Card Game;1-2 ;15;5;0;1;0;0;0;0;0;0
Fantasy General II: Invasion;PC;05.09.2019;80;7.2;OwnedbyGravity;Strategy,General;Online Multiplayer;9;31;0;0;0;0;0;0;0;0
Score Rush Extended;PlayStation4;31.05.2016;80;7.2;XonaGames;Action,Shooter,Shoot-'Em-Up,Top-Down;No info;9;25;0;0;0;0;0;0;1;0
F1 2012;PC;17.09.2012;80;7.2;Codemasters;Driving,Racing,Simulation,Formula One,Formula One,Automobile;No info;15;128;0;0;0;0;0;0;1;0
The Adventure Pals;XboxOne;03.04.2018;80;7.2;MassiveMonster;Action,Platformer,2D;No Online Multiplayer;8;13;0;0;1;0;0;0;0;0
Medal of Honor Infiltrator;GameBoyAdvance;17.11.2003;80;7.2;NetherockLtd.;Action,Shooter,Third-Person,Historic;1-2 ;19;12;0;1;0;0;0;0;0;0
Pro Race Driver;Xbox;16.04.2003;80;7.2;Codemasters;Driving,Racing,GT / Street;1-4 ;17;5;0;0;0;0;0;0;0;1
Rabi-Ribi;PlayStation4;01.09.2017;80;7.2;CreSpirit;Action,Platformer,2D;No Online Multiplayer;11;21;0;0;1;0;0;0;0;0
Driver: San Francisco;PC;27.09.2011;80;7.2;UbisoftReflections;Driving,Racing,Mission-based,Arcade,Mission-based,Automobile;No info;11;406;0;0;0;0;0;0;1;0
